Title,Year,Abstract
"[PDF] Effect of gypsum and cow manure on yield, proline content, and K/Na ratio of soybean genotypes under saline conditions",2018,"Gypsum and cow manure potential as ameliorant to increase crop production under salt stress
or saline condition. This research aimed to learn the effect of gypsum and cow manure on …"
"Comparison of DNA extraction methods between conventional, kit, alkali and buffer-only for PCR amplification on raw and boiled bovine and porcine meat",2017,"Detection of porcine contamination in food material by employing PCR techniques is integral
in halal food confirmation. However, PCR is both costly and laborious, particularly in DNA …"
Effect of calcination at synthesis of Mg-Al hydrotalcite using co-precipitation method,2017,"The use of hydrotalcite in catalysis has wide attention in academic research and industrial
parties. Based on its utilization, hydrotalcite can be active catalyst or support. This research is …"
"[PDF] Effects of Pseudomonas fluorescens and sulfur on nutrients uptake, growth and yield of groundnut in an alkaline soil",2016,"The aim of this research was to study the influence of P. fluorescens and sulfur on nutrients
uptake, growth and yield of groundnut in alkaline soil. The experiment was conducted in the …"
[PDF] Integration of the latest digital terrain model (DTM) with Synthetic aperture radar (SAR) bathymetry,2021,"Article history: Received 12 December 2020 Accepted 3 March 2021 Published 1 April 2021
Topography and bathymetry integration is one of the essential things in providing height …"
"Adaptability of some legume trees on quartz tailings of a former tin mining area in Bangka Island, Indonesia",2016,"Tin mining activities in Bangka Island, besides their important role in contributing to state
revenues, also caused damage to the environment, among others in the form of quartz tailings …"
"[PDF] The effect of tillage systems and dosages of cow manure on weed and soybeans yield (Glycine max, Merrill)",2019,"A field experiment to elucidate the effect of tillage systems and dosages of cow manure on
weed and soybeans yield (Glycine max, Merrill) was conducted at the Agrotechno Park of the …"
"[PDF] The role of women in Lok Baintan Floating Market, South Kalimantan: implication for tourism development",2017,"Lok Baintan Floating Market is the tourism destination in South Kalimantan. Trading activity
in Lok Baintan become the tourism attraction, which traders in the Floating Market are …"
"[PDF] River, Culture and Tourism in Lok Baintan, South Kalimantan",2016,"River become integral part of the Banjarese live in Lok Baitan, South Kalimantan. The
economic value of the river has been reported very high. Rivesr is a habitat for numerous fishes …"
"The evaluation of incentive-disincentive system in tourism development: a case study of Lake Linow development, Tomohon, North Sulawesi",2016,"The aim of the research is to evaluate the implementation of incentive-disincentive system
which area implemented in Lake Linow in term of tourism development. This result confirm …"
Potency and Diversity of Fungi on Pine Litter and Rhizosphere in Different Land-use of Universitas Brawijaya (UB) Forest,2022,"The agroforestry system with its diversity of vegetation has the potential on the existence of
antagonistic and entomopathogen fungi. This study was conducted to evaluate the diversity …"
"Land suitability evaluation of shallot (Allium ascalonicum L.) at production centres in Losari District, Brebes",2018,"The demand for shallots is getting higher as the population grows. Indonesia targets to become
a self-sufficient country of onion and the largest exporter of shallots in ASEAN by 2045. …"
"[PDF] Effect of soil and water conservation on rehabilitation of degraded lands and crop productivity in Maego watershed, North Ethiopia",2018,"Many soil and water conservation (SWC) measures have been carried out to solve land
degradation problems in Ethiopia. However, evaluation of their performance is essential to …"
… Writing Achievement (A Correlation Study At The 2nd Semester Of English Language Education Program (Elep) Students Of Universitas Brawijaya In Academic Year …,2017,"Tatabahasa dan menulis adalah komponen bahasa dan kecakapan yang harus dipelajari
pembelajar bahasa. Tatabahasa adalah peraturan atau sistem yang mengatur struktur dan …"
Influence of work discipline and work motivation on employee performance (Study on Universitas Brawijaya Malang Republic of Indonesia Employee Cooperative),2021,"The purpose of this study is to (1) examine and explain the influence of work motivation on
employee performance,(2) examine and explain the influence of work discipline on employee …"
Exploring Islamic Leadership on SME Performance: Mediated by Innovative Work Behavior and Financial Technology,2021,"The current condition of the Indonesian economy is far different from that of the economy ten
years ago. One of the differences in the structure and construction of the Indonesian …"
Students' Errors in Pronouncing English Vowels: A Case Study of the First Year Students of English Study Program of Faculty of Culture Studies,2011,"… Sampel dalam penelitian ini adalah 39 mahasiswa tahun ajaran pertama di 13 kelas
Academic Speaking Fakultas Ilmu Budaya Universitas Brawijaya. Dalam data analisis, peneliti …"
[PDF] The potential of bitter leaf (Vernonia amygdalina) in herbal medicine as anti-inflammatory Agent,2023,"Proses inflamasi melibatkan peningkatan permeabilitas vaskular, denaturasi protein, dan
perubahan membran. Flavonoid merupakan senyawa metabolit sekunder dengan aktivitas …"
The Effect Of Financial Leverage on Firm Value and Market Risk (Research on Consumer Goods Industries Listed in Indonesian Stock Exchanges in the Year of 2010 …,2014,"Perusahaan memproduksi barang untuk mendapatkan target laba. Sebuah perusahaan
memperoleh laba dari total pendapatan dikurangi biaya produksi yang dikeluarkan oleh …"
"[PDF] Potential rainwater harvesting suitable land selection and management by using GIS with MCDA in Ebenat District, Northwestern Ethiopia",2020,"Rainwater harvesting (RWH) is the way to reduce the effects of mid-season dry spells and
drought, which often reduce crop yields. Geographic information system (GIS) with multi-…"
[PDF] The use of ash and biochar derived oil palm bunch and coal fly ash for improvement of nutrient availability in peat soil of Central Kalimantan,2021,"Article history: Received 25 December 2020 Accepted 3 February 2021 Published 1 April
2021 The increment of peat soil productivity meets through ameliorant addition. Ameliorant …"
"Effects of integrated use of grass strip and soil bund on soil properties, Southern Ethiopia",2019,"Soil degradation is the major environmental and agricultural production problem in the highlands
of Ethiopia. The objectives of the study were to examine farmers’ use of grass strip and …"
"[PDF] Reflective practice in stimulating professional growth of English department lecturers of Universitas Brawijaya, Indonesia",2013,"… by the English Department lecturer(s) of Universitas Brawijaya. In addition, the variables of
… of 3 male and 12 female English Department lecturers of Universitas Brawijaya (n=15). 4 of …"
[PDF] The dynamics of shoreline change analysis based on the integration of remote sensing and geographic information system (GIS) techniques in Pekalongan …,2019,"Coastal areas are found in the dynamic zone at the interface between the three major natural
systems of the Earth's surface. The phenomenon of shoreline change is one of the most …"
